Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
N000179,Grace Napolitano,F,Democrat,1936,13,CA-31,-0.285406231880188,-0.968096611766626
N000189,Dan Newhouse,M,Republican,1955,5,WA-04,0.3430718183517456,1.230359368314545
N000190,Ralph Norman,M,Republican,1953,4,SC-05,0.24802528321743011,0.8978805753401237
N000191,Joe Neguse,M,Democrat,1984,3,CO-02,-0.3096102178096771,-1.052763685801827
N000193,Zach Nunn,M,Republican,1979,1,IA-03,0.2547871470451355,0.9215340027955892
N000194,Wiley Nickel,M,Democrat,1975,1,NC-13,-0.22867168486118317,-0.7696355770095684
O000019,Jay Obernolte,M,Republican,1970,2,CA-23,0.24523037672042847,0.8881038155951597
O000086,Burgess Owens,M,Republican,1951,2,UT-04,0.1659875363111496,0.6109073465822709
O000172,Alexandria Ocasio-Cortez,F,Democrat,1989,3,NY-14,-0.20842179656028748,-0.6988001866333241
O000173,Ilhan Omar,F,Democrat,1981,3,MN-05,-0.26716893911361694,-0.9043014078953643
O000175,Andy Ogles,M,Republican,1971,1,TN-05,0.28080862760543823,1.012558788032324
P000034,Frank Pallone,M,Democrat,1951,19,NJ-06,-0.21693331003189087,-0.7285739992339112
P000048,August Pfluger,M,Republican,1978,2,TX-11,0.2563808262348175,0.9271087934244653
P000096,Bill Pascrell,M,Democrat,1937,14,NJ-09,-0.2994450032711029,-1.0172051222483516
P000197,Nancy Pelosi,F,Democrat,1940,19,CA-11,-0.30598849058151245,-1.0400946548308279
P000597,Chellie Pingree,F,Democrat,1955,8,ME-01,-0.5132849812507629,-1.7652308937073824
P000604,Donald Payne Jr.,M,Democrat,1958,7,NJ-10,-0.355844110250473,-1.2144927665253096
P000605,Scott Perry,M,Republican,1962,6,PA-10,0.20692026615142822,0.7540926251535719
P000607,Mark Pocan,M,Democrat,1964,6,WI-02,-0.3808726668357849,-1.3020442408806554
P000609,Gary Palmer,M,Republican,1954,5,AL-06,0.13748203217983246,0.5111932897435385
P000610,Stacey Plaskett,F,Democrat,1966,5,VI-AL,-0.3086787760257721,-1.0495054435144984
P000613,Jimmy Panetta,M,Democrat,1969,4,CA-19,-0.06765162944793701,-0.20637723631554739
P000615,Greg Pence,M,Republican,1956,3,IN-06,0.3544550836086273,1.270178750340069
P000617,Ayanna Pressley,F,Democrat,1974,3,MA-07,-0.47153475880622864,-1.6191859742881074
P000618,Katie Porter,F,Democrat,1974,3,CA-47,-0.27074503898620605,-0.9168108314899667
Q000023,Michael Quigley,M,Democrat,1958,8,IL-05,-0.3509352207183838,-1.1973211603834615
R000103,Matthew Rosendale,M,Republican,1960,2,MT-02,0.27582699060440063,0.9951327066417597
R000305,Deborah Ross,F,Democrat,1963,2,NC-02,-0.3185010552406311,-1.0838643976099753
R000575,Mike Rogers (Alabama),M,Republican,1958,11,AL-03,0.12792423367500305,0.4777595059039937
R000579,Pat Ryan (New York),M,Democrat,1982,2,NY-18,-0.07975538074970245,-0.24871692410728727
R000599,Raul Ruiz,M,Democrat,1972,6,CA-25,-0.16675437986850739,-0.553044926975851
R000600,Amata Radewagen,F,Republican,1947,5,AS-AL,0.09952887892723083,0.37843075857745073
